Title,Company_Name,Salary,DateSub,Deadline,Place,Way,Level,Description,Requirement,Rights,Headquater,Srcpic,Company_Place,Company_Scale
Nhân Viên Hành Chính Văn Phòng,Công Ty TNHH Đầu Tư Phát Triển Và Thương Mại Mac Việt Nam,7 - 12 triệu,07/06/2024,20/06/2024,Hà Nội,3,,- Kiểm tra tính đúng đủ của bộ chứng từ - Nhập dữ liệu vào hệ thống một cách chính xác và nhanh chóng - In đơn hàng - Làm báo cáo giao nhận hàng trong ngày - Lưu chứng từ một cách khoa học - Kiểm số lượng hàng hóa xác thực với số lượng ghi trên chứng từ - Các công việc liên quan theo sự hướng dẫn của quản lý.,"- Cẩn thận, ham học hỏi, lanh lẹ - Thành thạo vi tính văn phòng","- Mức lương: 7.000.000 - 12.000.000, thỏa thuận khi phỏng vấn -  Lương thử việc: 85% lương cơ bản - Phụ cấp cơm trưa - Được tham gia đầy đủ các chế độ BHXH, BHYT & BHTN. - Chế độ bảo hiểm chăm sóc sức khỏe, bảo hiểm tai nạn - Thường xuyên được tham gia các khóa đào tạo - Du lịch hàng năm, tham gia các họat động vì cộng đồng","Tầng 1 Số 50 Lê Duẩn, Phường Văn Miếu, Quận Đống đa, Hà Nội",https://cdn1.vieclam24h.vn/images/default/2024/04/09/photo_2024-04-01_17-13-29_171265698175.jpg,"Tầng 1 Số 50 Lê Duẩn, Phường Văn Miếu, Quận Đống đa, Hà Nội",10 - 150 người
"Nhân Viên Kinh Doanh Thu Nhập 12 - 30 Triệu Tại Hải Phòng, Hà Nội, Đà Nẵng",Công Ty Cổ Phần Xnk Tnt Việt Nam - Chi Nhánh Hải Phòng,12 - 30 triệu,12/06/2024,30/06/2024,"Hải Phòng , Hà Nội , Đà Nẵng",Nam,,"- Quản lý hệ thống và phát triển khách hàng theo data có sẵn và phát triển thêm khách hàng trong khu vực quản lý - Đại diện thương mại cho Công ty để giao dịch và quản lý hệ thống khách hàng khu vực Thành Phố và Tỉnh. - Xây dựng khách hàng mới trong lĩnh vực dụng cụ cầm tay, máy hàn, máy bơm nước... - Tư vấn bán hàng qua điện thoại/zalo tại văn phòng - Thực hiện những chuyến đi công tác thăm khách hàng (có chi phí công tác).","- Giới tính: Nam - Độ tuổi: Từ 22-29 - Bằng cấp: Tốt nghiệp ĐẠI HỌC/CAO ĐẲNG chuyên ngành QTKD, MARKETING, KINH TẾ,... - Kinh nghiệm: Tối thiểu 1 năm ở vị trí tương đương - Tư chất tốt, đạo đức tốt - Nhiệt tình, chịu khó, ham học hỏi - Nhanh hẹn, chủ động, giao tiếp tốt, biết đàm phán và khả năng giải quyết tình huống tốt - Có khả năng làm việc độc lập và làm việc theo nhóm - Chịu được áp lực công việc","- Thu nhập: 12 - 30 triệu/tháng (lương cơ bản, lương doanh thu, hoa Hồng 3-5%). - Nghỉ chiều Thứ 7 và ngày Chủ Nhật - Các ngày lễ, Tết nghỉ theo quy định Nhà nước - Phúc lợi: đầy đủ theo quy định của Luật Lao động - Khen thưởng và thi đua tháng, Quý, năm hấp dẫn - Được đào tạo, rèn luyện trong môi trường năng động, chuyên nghiệp - Du lịch 1 năm 1 lần, được tham gia các hoạt động giao lưu thường niên của chi nhánh và tập đoàn - Có cơ hội chứng tỏ năng lực cá nhân, phát triển bản thân và thăng tiến rõ ràng:","Số nhà 34 đường 442 Khu dân cư An Trang, Xã An Đồng, Huyện An Dương, Thành phố Hải Phòng",/img/vieclam24h_logo_customer.jpg,"Số nhà 34 đường 442 Khu dân cư An Trang, Xã An Đồng, Huyện An Dương, Thành phố Hải Phòng",10 - 150 người
Nhân Viên Phục Vụ Bar Tây Ca Tối (Nữ) - Thu Nhập Trên 20 Triệu,Công Ty TNHH Welcome Inn,20 - 30 triệu,30/05/2024,28/06/2024,TP.HCM,8,,"Chào đón khách ,Ghi lại order nhận order , giao tiếp và phục vụ khách hàng với thái độ thân thiện Sắp xếp chỗ ngồi và hướng dẫn khách vào bar. Tư vấn cho khách về các loại đồ uống, thức ăn. Cụ thể công việc trao đổi khi phỏng vấn. Full time: ca 8 tiếng (Nhiều ca để các bạn lựa chọn. Có ca cho các bạn sv) +15pm - 11pm +16pm - 00am +17pm -1 am +18pm - 2am","Ngoại hình ưa nhìn cao 1m55 CHỈ TUYỂN NỮ từ 18 tới 27 tuổi. Ưu tiên sinh viên làm việc siêng năng Năng động - Thật thà - Có tinh thần trách nhiệm cao. Chịu học hỏi. Ưu tiên biết tiếng anh, tiếng Hoa 1 số câu giao tiếp thông thường càng tốt nếu không biết SẼ được hướng dẫn Liên hệ chị Như: 0977482239/ 0908810696","Lương cơ bản + tiền nước + tip tab + tăng ca + thưởng hàng tháng + thưởng cuối năm => Thu nhập từ 20 triệu (thực tế chưa tính tip , tip tay tự cầm không cần chia ) Môi trường làm việc thân thiện , lịch sự, thoải mái Điều kiện tốt cho những bạn muốn trau dồi và nâng cao trình độ ngoại ngữ. CAM KẾT KHÔNG PHỤC VỤ NHẠY CẢM. KHÔNG TRÁI PHÉP.","56 Tôn Thất Thiệp, Phường Bến Nghé, Quận 1, TP Hồ Chí Minh",https://cdn1.vieclam24h.vn/images/employer_avatar/2024/05/30/logo welcom_171704447079.jpg,"56 Tôn Thất Thiệp, Phường Bến Nghé, Quận 1, TP Hồ Chí Minh",10 - 150 người
Kỹ Sư QS (Đấu Thầu),Công Ty CP Hóa Chất Xây Dựng Bách Khoa,13 - 15 triệu,30/05/2024,15/06/2024,Hà Nội,2,1 năm,"Triển khai bản vẽ shop drawing Tính toán khối lượng Lập biện pháp thi công Phối hợp thực hiện hồ sơ nghiệm thu, hoàn công Lập và bảo vệ khối lượng hồ sơ thanh quyết toán với CĐT Xây dựng định mức, cấu tạo đơn giá chào thầu (đối với dự án có yêu cầu) Lập hồ sơ dự thầu (đối với dự án có yêu cầu). Thực hiện một số công việc khác theo phân công của cấp trên","Sử dụng thành thạo AutoCAD, ưu tiên đã có kinh nghiệm thực hiện triển khai bản vẽ thi công (Shopdrawing) các hạng mục hoàn thiện. Sử dụng thành thạo Excel, ưu tiên đã có kinh nghiệm bóc tách khối lượng các hạng mục hoàn thiện và lập dự toán dự thầu. Có kỹ năng chiết tính và xây dựng định mức, cấu tạo đơn giá.","Hưởng lương cơ bản từ 13-15tr/tháng Hưởng lương theo dự án Đóng BHXH đầy đủ Môi trường làm việc: Chuyên nghiệp, thân thiện, cởi mở Được đào tạo bài bản nhằm phát huy khả năng bản thân","Phòng 2904, tháp A, chung cư thăng long Number one, 289 Khuất Duy Tiến, Trung Hòa, Cầu Giấy, HN",https://cdn1.vieclam24h.vn/tvn/images/old_employer_avatar/images/5fe62bfec856b9ade231312ecc7e5642_5df87f2122735_1576566561.png,"Phòng 2904, tháp A, chung cư thăng long Number one, 289 Khuất Duy Tiến, Trung Hòa, Cầu Giấy, HN",10 - 150 người
Nhân Viên Quản Lý Đơn Hàng (Tiền Giang),Công Ty TNHH Túi Xách Simone Việt Nam Tg,10 - 15 triệu,03/06/2024,25/06/2024,Tiền Giang,3,1 năm,"- Theo dõi bảng cân đối phụ liệu, order nguyên phụ liệu - Theo dõi tiến trình sản xuất,Theo dõi số lượng đơn hàng, số lượng sản xuất, theo dõi mẫu mã trước khi sản xuất ….. - Quản lý sản xuất và kế hoạch các đơn hàng gia công may mặc tại nhà máy chuyên Xuất Khẩu đi thị trường Mỹ. - Báo cáo tình hình kế hoạch sản xuất cho các bộ phận liên quan và Ban Giám Đốc. - Có trách nhiệm đặt hàng và giám sát các Nguyên Phụ Liệu sản xuất","- Biết Tiếng Anh giao tiếp - Thành thạo tin học văn phòng - Chịu được áp lực công việc, tiếp thu nhanh, mong muốn gắn bó lâu dài với công ty - Ưu tiên có kinh nghiệm làm cho công ty sản xuất (về PD, PM, Costing, định mức hoặc phát triển)","- Lương cao theo năng lực của ứng viên - Tham gia chế độ (BHXH, BHYT, BHTN), công đoàn đầy đủ - Thưởng các ngày lễ, tết - Có lương tháng thứ 13 theo quy định công ty - Theo luật lao động Việt Nam - Du lịch hàng năm - Khám sức khỏe định kỳ 2 lần / năm - Được làm việc trong một môi trường chuyên nghiệp, năng động, hiện đại - Có cơ hội thăng tiến cao trong công việc","Khu Công Nghiệp Tân Hương, Châu Thành, Tỉnh Tiền Giang",https://cdn1.vieclam24h.vn/tvn/images/old_employer_avatar/images/65cb0d632cf53af14c1da89fc1739a54_5f6b00824a742_1600848002.jpeg,"Khu Công Nghiệp Tân Hương, Châu Thành, Tỉnh Tiền Giang",Trên 300 người
Quận 1 - Nhân Viên Tư Vấn Chốt Đơn / Telesale / Call Center Kinh Nghiệm Trên 3 Tháng (Thu Nhập 15 - 25 Triệu),Công Ty TNHH Careline Solution,15 - 25 triệu,16/05/2024,12/06/2024,TP.HCM,5,,"- Tiếp nhận data khách hàng tiềm năng có sẵn của Công ty. Sale tại văn phòng, không cần tìm kiếm khách hàng mới, không cần đi thị trường. - Gọi điện đến khách hàng thông báo các chương trình ưu đãi trong năm, tư vấn và thuyết phục khách hàng sử dụng các sản phẩm chăm sóc sức khỏe, mỹ phẩm,... - Cập nhật lên hệ thống: Thông tin khách hàng, tình trạng tư vấn, báo cáo doanh thu định kỳ - Gửi báo cáo công việc lên cấp trên theo yêu cầu * Địa chỉ văn phòng làm việc: 290 Hai Bà Trưng, Phường Tân Định, Quận 1, TP. HCM","* TỐI THIỂU 3 THÁNG KINH NGHIỆM trong mảng Call center/ Telesale/ Direct sales/ Bán hàng qua điện thoại/ Tư vấn viên qua điện thoại/ Trực tổng đài/ CSKH qua điện thoại,... (ỨNG VIÊN CHƯA CÓ KINH NGHIỆM VỀ MẢNG NÀY VUI LÒNG KHÔNG NỘP HỒ SƠ) - Độ tuổi từ 20 – 35 tuổi (Làm Fulltime không vướng bận việc học) - Không yêu cầu bằng cấp - Ưu tiên các Ứng viên am hiểu về dược, hóa mỹ phẩm, dinh dưỡng (Không bắt buộc) hoặc các ngành liên quan - Giọng nói lưu loát, rõ ràng, nhẹ nhàng, dễ nghe - Biết sử dụng tin học văn phòng cơ bản","1. Lương thưởng: - Thời gian thử việc: 2 tháng (Vẫn được Hưởng 100% lương) - Lương cứng: 8.000.000 - 9.000.000 đồng (Thỏa thuận tùy theo năng lực ứng viên) + Thưởng KPIs - Thời gian làm việc: Fulltime xoay ca (Ca 1: 8h - 17h; Ca 2 : 8h30 - 17h30; Ca 3: 14h - 22h). Nghỉ 1 ngày không cố định trong tuần, có thêm Phụ cấp: 1.200.000 đồng => Thu nhập ổn định từ 15.000.000 - 25.000.000 đồng/ tháng (Không giới hạn với các ứng viên có năng lực tốt) 2. Quyền lợi chung: - Khám sức khỏe định kỳ hàng năm - Được đào tạo bài bản về kiến thức chuyên môn và kĩ năng bán hàng - Được hưởng đầy đủ các chế độ theo quy định của pháp luật (BHYT, BHXH, BHTN) - Các chế độ phúc lợi theo nội quy, quy chế của Công ty (tham quan, nghỉ mát, lương thưởng, nghỉ lễ Tết...) - Công ty cấp sẵn Database khách hàng tiềm năng, cung cấp Laptop và thiết bị phục vụ cho công việc - Được làm việc trong môi trường chuyên nghiệp và thân thiện, trẻ trung - Có nhiều cơ hội thăng tiến và phát triển nghề nghiệp - Ứng viên phỏng vấn đạt yêu cầu sẽ nhận việc ngay","290 Hai Bà Trưng, Phường Tân Định, Quận 1, TP Hồ Chí Minh",https://cdn1.vieclam24h.vn/images/default/2024/04/12/z5340262864557_1b05f68b0e77943f335e103c00e5a40a_171290294731.jpg,"290 Hai Bà Trưng, Phường Tân Định, Quận 1, TP Hồ Chí Minh",150 - 300 người
Nhân Viên Kinh Doanh Online (Sale Online) Tại Bắc Binh,Công Ty TNHH Thương Mại Dịch Vụ Lux Hair,15 - 25 triệu,10/06/2024,30/06/2024,"Bắc Ninh , Hà Nội",10,Dưới 1 năm,"- Tìm kiếm khách hàng nước ngoài, tư vấn và chốt đơn - Quản lý profile trên mạng xã hội: fanpage, instagram, VK, WhatsApp (theo mẫu và qui trình của công ty) - Tư vấn khách hàng từ dữ liệu quảng cáo - Thực hiện các nhiệm vụ khác khi được yêu cầu","- Giao tiếp tiếng anh cơ bản (Ưu tiên ứng viên có thể giao tiếp 1 trong các ngôn ngữ sau: Tây Ban Nha, Thái, Nga - Nữ dưới 30 tuổi - Tốt nghiệp cao đẳng trở lên, chấp nhận sinh viên chờ bằng, sử dụng co bản word, excell - Không yêu cầu kinh nghiệm sẽ được đào tạo","- Lương cứng 8-10Tr + % hoa hồng + thưởng --> Thu nhập từ 15-25Tr/Tháng - Chế độ BHXH, BHYT, lương tháng 13, nghỉ phép, du lịch - Cấp điện thoại, laptop phục vụ công việc - Hỗ trợ chỗ ở cho nhân viên - Trợ cấp gửi xe, ăn trưa - Giờ làm việc giờ hành chính: từ thứ 2- thứ 6","Thôn Đông Bích, Xã Đông Thọ, Huyện Yên Phong, Bắc Ninh",https://cdn1.vieclam24h.vn/images/employer_avatar/2024/06/10/b30b76da268785d9dc96_171798466481.jpg,"Thôn Đông Bích, Xã Đông Thọ, Huyện Yên Phong, Bắc Ninh",10 - 150 người
"Nhân Viên Kinh Doanh Vật Tư Thiết Bị Y Tế Tại Huế, Đà Nẵng",Cn Công Ty TNHH 4-Life Việt Nam,10 - 15 triệu,05/06/2024,20/06/2024,"Thừa Thiên Huế , Đà Nẵng",Nam,2 năm,"· Thiết lập, xây dựng mối quan hệ với khách hàng, khách hàng mục tiêu trên địa bàn phụ trách · Phát triển thị trường mới, sản phẩm mới · Lập kế hoạch kinh doanh trên địa bàn phụ trách · Thực thi công việc kinh doanh, Marketing tại địa bàn phụ trách · Cung cấp thông tin sản phẩm, dịch vụ tốt nhất đến khách hàng trên địa bàn phụ trách · Hoàn thành mục tiêu kinh doanh theo kế hoạch · Nắm bắt thông tin thay đổi trên thị trường, tình hình hoạt động của các sản phẩm cạnh tranh · Tìm hiểu và nắm rõ nhu cầu của khách hàng, lập kế hoạch và giải pháp đề xuất các giải pháp thực thi kế hoạch kinh doanh để hoàn thành mục tiêu · Lập kế hoạch và báo cáo công việc hàng tuần/tháng/quý cho cấp quản lý","- Tốt nghiệp đại học/ cao đẳng các ngành: Y, Dược, Kỹ thuật, Công nghệ, Y sinh, Công nghệ sinh học, Marketing, QTKD, Thương mại … - Kinh nghiệm từ 2 năm trở lên trong lãnh vực TBYT, Dược ở thị trường Quảng Nam, Đà Nẵng, Huế, Quảng Bình, Quảng Trị, Nghệ An, Hà Tĩnh - Kỹ năng vi tính: Word, Excel, Power Point - Vui vẻ, nhiệt tình, chịu khó, nhiệt huyết, đam mê công việc, sẵn sàng đi công tác","- Lương cơ bản: thương lượng theo năng lực, kinh nghiệm - Lương tháng 13 - Thưởng doanh số theo chính sách kinh doanh của Công ty - Các chế độ ngày nghỉ, sinh nhật, lễ, Tết, du lịch theo chính sách Công ty - Thời gian làm việc giờ hành chính: Từ thứ 2 đến thứ 6, sáng thứ 7 - Địa điểm làm việc: Tại Đà Nẵng hoặc Huế","Tầng 1, 326 Cách Mạng Tháng Tám, Phường 10, Quận 3, TP Hồ Chí Minh",https://cdn1.vieclam24h.vn/images/employer_avatar/2024/06/05/pictures_library_16480_20191206100536_3744_171755187741.jpg,"Tầng 1, 326 Cách Mạng Tháng Tám, Phường 10, Quận 3, TP Hồ Chí Minh",10 - 150 người
Nhân Viên Kinh Doanh,Công Ty TNHH Sản Xuất In Bao Bì Toàn Cầu,10 - 20 triệu,24/05/2024,30/06/2024,TP.HCM,5,,"Tạo ra doanh thu trực tiếp cho công ty thông qua việc phát triển thị trường. Phối hợp với bộ phận Marketing trực page giới thiệu, tư vấn và quảng bá sản phẩm của Công ty đến khách hàng. Bám sát tiến độ tài chính theo kế hoạch và hợp đồng với khách hàng Phối hợp với các phòng ban để xử lý các vấn đề phát sinh về đơn hàng và yêu cầu của khách hàng liên quan đến sản phẩm sau bán hang. Trực tiếp triển khai đơn hàng khách hàng đến các phòng ban để phối hợp và thực hiện Nắm bắt đầy đủ thông tin, tình huống phát sinh để xử lý trực tiếp và thông báo cho cấp trên. Thường xuyên trao đổi, thông báo tiến độ và giải đáp thắc mắc của khách hàng trong quá trình triển khai đơn hang. Tổng hợp báo cáo kết quả thực hiện các đơn hàng được giao với cấp trên.","Từ 22 - 35 tuổi. Tốt Nghiệp Cao Đẳng trở lên Có kinh nghiệm từ 1 – 2 năm Kỹ năng giao tiếp tốt, thuyết trình lưu loát, đàm phán hiệu quả. Chăm chỉ, cẩn thận, trách nhiệm cao, có tinh thần đồng đội. Có khả năng làm việc theo nhóm, chịu được áp lực","Lương cơ bản: 8triệu + hoa hồng => tổng thu nhập từ 10 triệu - 20 triệu trở lên tùy vào năng lực ứng viên Thưởng cuối năm, thưởng các ngày lễ, Tết Hưởng 100% lương sau 2 tháng thử việc Phụ cấp cơm trưa Các chế độ theo đúng luật lao động: BHXH, BHTN, BHYT... Được hỗ trợ dào tạo kĩ năng sale và kiến thức bao bì hấp dẫn","Xưởng 110 đường 89, ấp Cây Da, xã Tân Phú Trung, Củ Chi, TP. HCM",https://cdn1.vieclam24h.vn/images/employer_avatar/2024/05/24/toàn cầu_171651706443.jpg,"Xưởng 110 đường 89, ấp Cây Da, xã Tân Phú Trung, Củ Chi, TP. HCM",10 - 150 người
Nhân Viên Tư Vấn Tại Văn Phòng Không Yêu Cầu Kinh Nghiệm,Công Ty TNHH TM DV Liên Minh Quốc Tế Diamond-G,8 - 15 triệu,06/06/2024,24/06/2024,TP.HCM,10,,"- Tư vấn hỗ trợ khách hàng qua điện thoại sản phẩm và dịch vụ của công ty (Thiết bị gia dụng điện tử). - Chốt đơn, theo dõi đơn hàng. - Được cung cấp trang thiết bị - Làm việc tại văn phòng. - Thời gian làm việc: 8h15-17h30 từ t2-t7, nghĩ chủ nhật Đại chỉ: Lầu 6 Tòa Nhà Thái An, 2290 Quốc Lộ 1A, P.Trung Mỹ Tây, Quận 12, Tp.Hồ Chí Minh","- Chăm chỉ, trung thực, vui vẻ, hòa đồng, nhanh nhẹn - Độ Tuổi từ 18-30 tuổi - KHÔNG YÊU CẦU KINH NGHIỆM","- THU NHẬP ỔN ĐỊNH: 8-15 triệu (lương cứng + từ 8% hoa hồng +40K/đơn hàng) + thưởng nóng - Được làm việc trong môi trường chuyên nghiệp, năng động, cơ chế linh hoạt - Được đào tạo - Được tham gia đóng BHXH, BHYT, BHTN - Được hưởng các quyền lợi theo quy định của bộ luật lao động và theo quy chế của công ty.","Lầu 6 Tòa Nhà Thái An, 2290 Quốc Lộ 1A, P.Trung Mỹ Tây,Q12, Tp.Hồ Chí Minh.",https://cdn1.vieclam24h.vn/images/employer_avatar/2022/03/15/images/164732764146.jpeg,"Lầu 6 Tòa Nhà Thái An, 2290 Quốc Lộ 1A, P.Trung Mỹ Tây,Q12, Tp.Hồ Chí Minh.",Trên 300 người
"Nhân Viên Quản Lý, Phát Triển Kênh Youtube",Công Ty TNHH CGT Media Group,7 - 15 triệu,10/06/2024,30/06/2024,Hà Nội,20,Chưa có kinh nghiệm,- Phát triển và quản lý kênh Youtube của công ty. - Xây dựng chiến lược nội dung thu hút người xem và tăng lượng subscribe. - Phân tích hiệu quả kênh Youtube và báo cáo kết quả định kỳ. - Thực hiện các công việc khác theo yêu cầu của cấp trên.,"- Thành thạo tin học văn phòng cơ bản - Kỹ năng sử dụng cơ các phần mềm chỉnh sửa video - Có khả năng làm việc độc lập và làm việc nhóm tốt. - Có tinh thần trách nhiệm cao, cẩn thận và tỉ mỉ. - Năng động, sáng tạo và ham học hỏi. - Chưa biết sẽ được đào tạo","- Lương cơ bản: 7 - 15tr + thưởng nóng, thưởng doanh thu theo tăng trưởng của dự án - Được hưởng lương tháng 13. - Được tham gia đóng bảo hiểm xã hội. - Được tham gia du lịch cùng công ty hằng năm. - Môi trường làm việc năng động, sáng tạo. - Có cơ hội phát triến bản thân và học hỏi kinh nghiệm. - Được tham gia vào các dự án sáng tạo và ý nghĩa.","KĐT Tây Nam Linh Đàm, Hoàng Liệt, Hoàng Mai, Hà Nội",https://cdn1.vieclam24h.vn/images/employer_avatar/2024/02/28/cgt_170909194716.jpg,"KĐT Tây Nam Linh Đàm, Hoàng Liệt, Hoàng Mai, Hà Nội",10 - 150 người
Kế Toán Nội Bộ,Công Ty TNHH Lục Sâm,15 - 18 triệu,07/06/2024,29/06/2024,Bình Dương,1,3 năm,"- Theo dõi hồ sơ nhân sự, - Tổng hợp các hoá đơn đầu vào, đầu ra; - Theo dõi chi phí cho từng công trình; - Theo dõi báo cáo thu chi và các công việc khác có liên quan.","-       Biết Tiếng Trung 4 kỹ năng -       Có kinh nghiệm làm kế toán 3 năm trở lên -       Siêng năng, chịu khó , nhanh nhẹn xử lí công việc, chịu được áp lực công việc *** THỜI GIAN LÀM VIỆC : Từ 8h-17h (Thứ 2- Thứ 7 Hàng Tuần)","- Được hưởng chế độ đãi ngộ theo chính sách của Công ty (BHXH, BHYT, hiếu hỉ, ...). - Làm việc trong môi trường thân thiện và được hướng công việc cụ thể.","Khu phố Bình Khánh, Phường Khánh Bình, Thành phố Tân Uyên, Tỉnh Bình Dương",https://cdn1.vieclam24h.vn/images/employer_avatar/2024/06/03/5daff26983478_1571811945_171739920870.jpg,"Khu phố Bình Khánh, Phường Khánh Bình, Thành phố Tân Uyên, Tỉnh Bình Dương",Trên 300 người
Nhân Viên Tư Vấn Chốt Đơn / Telesale / Call Center Có Kinh Nghiệm Trên 6 Tháng Thu Nhập Từ 15 - 25 Triệu,Công Ty TNHH MTV Healthpost,15 - 25 triệu,07/06/2024,05/07/2024,TP.HCM,15,1 năm,"- Công ty hỗ trợ sẵn database, chỉ làm tại văn phòng, không đi thị trường - Tiếp nhận database tư vấn và thuyết phục khách hàng sử dụng các sản phẩm chăm sóc sức khỏe, mỹ phẩm, các chương trình ưu đãi trong năm. - Cập nhật kịp thời trên hệ thống: thông tin khách hàng, tình trạng tư vấn, báo cáo doanh thu định kỳ. - Tham gia đầy đủ các khóa đào tạo kiến thức về sản phẩm, kỹ năng xử lý các tình huống phát sinh khi tư vấn khách hàng - Gửi báo cáo công việc lên cấp trên theo yêu cầu.","- Độ tuổi từ 20 – 35 tuổi (Làm fulltime không vướng bận việc học) - Có kinh nghiệm ít nhất 6 tháng ở mảng Call center/ Telesale/ Bán hàng qua điện thoại/Trực tổng đài/ Tư vấn viên... Ưu tiên các Ứng viên am hiểu về dược, hóa mỹ phẩm, dinh dưỡng và các ngành liên quan - Giọng nói lưu loát, rõ ràng, nhẹ nhàng, dễ nghe - Biết sử dụng cơ bản tin học văn phòng cơ bản. - Chịu được áp lực trong công việc.","- Thời gian thử việc: 02 tháng hưởng 100% lương - Lương cứng: 8.000.000 – 9.000.000 đồng/ tháng (Thỏa thuận tùy theo năng lực ứng viên) + Thưởng KPI => Thu nhập: 15.000.000 – 25.000.000 đồng/tháng (Thu nhập không giới hạn với các ứng viên có năng lực tốt) - Thời gian làm việc: Làm fulltime giờ hành chính 6 ngày/ tuần (Nghỉ cố định CN. Phụ cấp 400.000đ ) - Được cấp thiết bị làm việc đầy đủ: Điện thoại + Data Nóng ... - Được đào tạo bài bản về kiến thức chuyên môn và kĩ năng bán hàng - Được hưởng đầy đủ các chế độ theo quy định của pháp luật (BHYT, BHXH, BHTN) và các chế độ phúc lợi theo nội quy, quy chế của Công ty (tham quan, nghỉ mát, lương thưởng, nghỉ lễ Tết…) - Được làm việc trong môi trường chuyên nghiệp và thân thiện, có nhiều cơ hội thăng tiến và phát triển nghề nghiệp","17-19 Tôn Thất Tùng, Phường Phạm Ngũ Lão, Quận 1, HCM",https://cdn1.vieclam24h.vn/images/employer_avatar/2023/05/22/Capturec_168473676966.PNG,"17-19 Tôn Thất Tùng, Phường Phạm Ngũ Lão, Quận 1, HCM",150 - 300 người
"Nhân Viên Kinh Doanh Nguồn Hàng Trung Quốc Cho Shopee, Lazada (Thu Nhập Từ 8 - 35 Triệu / Tháng)",Nguồn Hàng Quảng Châu - Trung Quốc,8 - 35 triệu,04/06/2024,30/06/2024,Hà Nội,10,,"Hỗ trợ khách hàng order hàng hoá trên các trang thương mại điện tử trung quốc ( 1688, Taobao, Tmall...), + Tìm kiếm khách hàng qua các kênh bán hàng (shopee, lazada, tiki...), + Tư vấn khách hàng nhắn tin qua zalo, gọi điện, + Tư vấn tìm kiếm nguồn hàng trên 1688, Taobao, + Hỗ trợ bộ phận CSKH để theo dõi lộ trình đơn hàng về tay khách hàng hoàn thiện,","- Không yêu cầu kinh nghiệm (sẽ được đào tạo khi làm việc), - Không Yêu Cầu Tiếng Trung, - Có đam mê Kinh doanh, kiếm thu nhập, - Có tinh thần cầu tiến, chăm chỉ, - Thích đi buôn,","+ lương cơ bản 5tr và doanh số ( Thu nhập từ 8tr đến 35 triệu) + Làm việc môi trường trẻ trung, học tập hỗ trợ nhau trong công việc, + Tổ chức liên hoan, du lịch theo quỹ, + Trợ cấp tiền điện thoại hàng tháng, + Thời gian làm việc: 8:00 - 17:30 , nghỉ trưa 12:00 , 13:45. (Thứ 2 , sáng Thứ 7),","Số 37, ngõ 45, Trần Thái Tông, Cầu Giấy, Hà Nội",https://cdn1.vieclam24h.vn/images/employer_avatar/2024/05/04/d57844118d88b634f291237fed0c00ca_171479168821.jpeg,"Số 37, ngõ 45, Trần Thái Tông, Cầu Giấy, Hà Nội",150 - 300 người
Nhân Viên Kinh Doanh BĐS - Hỗ Trợ MKT 15-25tr/Tháng,Công Ty Cổ Phần Dịch Vụ Và Đầu Tư Bất Động Sản Fire Land,9 - 21 triệu,23/05/2024,19/06/2024,TP.HCM,10,,"Giới thiệu sản phẩm của Công ty đến với khách hàng, Phân khúc sản phẩm từ 1,5 - 4 tỷ, Picity Sky Park, The Felix , A&T Sky Garden, Rivana, HT Pearl, Vinhomes Grand Park, … Cập nhật thông tin/chính sách trên thị trường bất động sản cho khách hàng. Hỗ trợ khách hàng trong quá trình ký hợp đồng, chăm sóc khách hàng sau bán hàng. Mở rộng nguồn khách hàng thông qua các kênh: marketing online. Tham gia các buổi đào tạo sản phẩm.","Có laptop, smartphone và phương tiện di chuyển. Ưu tiên ứng viên đã có kinh nghiệm. Nếu chưa có kinh nghiệm sẽ được đào tạo. Có mong muốn phát triển trong lĩnh vực Bất động sản, khẳng định bản thân trong môi trường năng động - chuyên nghiệp - nhiều cơ hội làm giàu và thăng tiến. Tinh thần hợp tác, cầu tiến, nhiệt huyết, kỷ luật trong công việc.","Thu nhập hàng tháng: từ 9 - 21 triệu (gồm lương cứng + phụ cấp) Đầu tư marketing cho NVKD không giới hạn (tối thiểu 15tr- 25tr/chiến dịch). Hoa hồng sản phẩm: từ 50 đến 100 triệu. Thưởng nóng từ CĐT : từ 20 triệu lên đến 100 triệu. Thưởng nóng, thưởng hiệu quả theo từng tuần, tháng, quý Được tự đề xuất tham gia các khóa học chuyên sâu - công ty tài trợ chi phí cho tất cả các cấp bậc từ NVKD đến CEO. Lộ trình đào tạo phù hợp định hướng từng nhân viên: các khóa đào tạo về kiến thức và kỹ năng trong Lĩnh vực Bất động sản, Marketing, Tài chính - ngân hàng,.. Có lộ trình thăng tiến rõ ràng, minh bạch. Được sự hỗ trợ của Lãnh đạo trong việc tư vấn, đàm phán, chốt deal. Được tham gia những sự kiện, trải nghiệm dịch vụ đẳng cấp của các Chủ đầu tư lớn trên thị trường. Team building, du lịch cùng Công ty. Địa điểm làm việc: KDT Vạn Phúc, TP. Thủ Đức.","15 đường 39, KDT Vạn Phúc, Hiệp Bình Phước, TP. Thủ Đức, TP. HCM.",https://cdn1.vieclam24h.vn/images/employer_avatar/2024/05/23/d3953ad1bdb51deb44a4_171642965529.jpg,"15 đường 39, KDT Vạn Phúc, Hiệp Bình Phước, TP. Thủ Đức, TP. HCM.",10 - 150 người
